"continent","countryname","stringencyindex","date"
"Africa","Tanzania","8.33","20210401"
"Africa","Seychelles","56.48","20220401"
"Africa","Burundi","13.89","20200401"
"Africa","Congo","97.22","20200401"
"Africa","Mauritius","96.3","20210401"
"Africa","Gabon","11.11","20220401"
"Asia","Jordan","100","20200401"
"Asia","Sri Lanka","100","20200401"
"Asia","Mongolia","0","20220401"
"Asia","Tajikistan","19.44","20200401"
"Asia","Laos","16.67","20210401"
"Asia","Georgia","100","20200401"
"Asia","India","100","20200401"
"Asia","Philippines","100","20200401"
"Asia","Timor-Leste","85.19","20210401"
"Asia","Myanmar","78.7","20220401"
"Europe","Georgia","100","20200401"
"Europe","Andorra","8.33","20220401"
"Europe","Belarus","12.04","20200401"
"Europe","Ukraine","60.16","20220401"
"Europe","Greece","87.96","20210401"
"Europe","Serbia","100","20200401"
"Europe","Russia","36.57","20210401"
"North America","Nicaragua","13.89","20210401"
"North America","Honduras","100","20200401"
"North America","Dominican Republic","8.33","20220401"
"North America","Nicaragua","8.33","20220401"
"North America","Honduras","82.41","20210401"
"North America","Nicaragua","15.74","20200401"
"North America","Dominica","59.41","20220401"
"Oceania","New Zealand","22.22","20210401"
"Oceania","Papua New Guinea","62.04","20210401"
"Oceania","Fiji","32.42","20220401"
"Oceania","Kiribati","40.74","20200401"
"Oceania","Vanuatu","22.22","20210401"
"Oceania","Vanuatu","85.19","20220401"
"Oceania","New Zealand","96.3","20200401"
"Oceania","Kiribati","22.22","20210401"
"South America","Argentina","100","20200401"
"South America","Uruguay","14.82","20220401"
"South America","Bolivia","25","20210401"
"South America","Suriname","50.65","20220401"
"South America","Guyana","57.41","20200401"
"South America","Venezuela","87.96","20210401"
